codigo,texto
3.0.00.00.00,DESPESAS CORRENTES
3.1.00.00.00,PESSOAL E ENCARGOS SOCIAIS
3.1.30.00.00,Transferências a Estados e ao Distrito Federal
3.1.30.41.00,Contribuições
3.1.30.99.00,A Classificar
3.1.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio
3.1.71.70.00,Rateio pela Participação em Consórcio Público
3.1.71.99.00,A Classificar
3.1.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.1.73.70.00,Rateio pela Participação em Consórcio Público
3.1.73.99.00,A Classificar
3.1.74.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.1.74.70.00,Rateio pela Participação em Consórcio Público
3.1.74.99.00,A Classificar
3.1.80.00.00,Transferências ao Exterior
3.1.80.04.00,Contratação por Tempo Determinado
3.1.80.99.00,A Classificar
3.1.90.00.00,Aplicações Diretas
3.1.90.01.00,"Aposentadorias, Reserva Remunerada e Reformas"
3.1.90.03.00,Pensões
3.1.90.04.00,Contratação por Tempo Determinado
3.1.90.07.00,Contribuição a Entidades Fechadas de Previdência
3.1.90.11.00,Vencimentos e Vantagens Fixas - Pessoal Civil
3.1.90.12.00,Vencimentos e Vantagens Fixas - Pessoal Militar
3.1.90.13.00,Obrigações Patronais
3.1.90.16.00,Outras Despesas Variáveis - Pessoal Civil
3.1.90.17.00,Outras Despesas Variáveis - Pessoal Militar
3.1.90.67.00,Depósitos Compulsórios
3.1.90.91.00,Sentenças Judiciais
3.1.90.92.00,Despesas de Exercícios Anteriores
3.1.90.94.00,Indenizações e Restituições Trabalhistas
3.1.90.96.00,Ressarcimento de Despesas de Pessoal Requisitado
3.1.90.99.00,A Classificar
3.1.91.00.00,"Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social"
3.1.91.04.00,Contratação por Tempo Determinado
3.1.91.13.00,Contribuições Patronais
3.1.91.91.00,Sentenças Judiciais
3.1.91.92.00,Despesas de Exercícios Anteriores
3.1.91.94.00,Indenizações e Restituições Trabalhistas
3.1.91.96.00,Ressarcimento de Despesas de Pessoal Requisitado
3.1.91.99.00,A Classificar
3.1.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.1.95.04.00,Contratação por Tempo Determinado
3.1.95.07.00,Contribuição a Entidades Fechadas de Previdência
3.1.95.11.00,Vencimentos e Vantagens Fixas - Pessoal Civil
3.1.95.13.00,Obrigações Patronais
3.1.95.16.00,Outras Despesas Variáveis - Pessoal Civil
3.1.95.67.00,Depósitos Compulsórios
3.1.95.91.00,Sentenças Judiciais
3.1.95.92.00,Despesas de Exercícios Anteriores
3.1.95.94.00,Indenizações e Restituições Trabalhistas
3.1.95.96.00,Ressarcimento de Despesas de Pessoal Requisitado
3.1.95.99.00,A Classificar
3.1.96.00.00,"Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.1.96.04.00,Contratação por Tempo Determinado
3.1.96.07.00,Contribuição a Entidades Fechadas de Previdência
3.1.96.11.00,Vencimentos e Vantagens Fixas - Pessoal Civil
3.1.96.13.00,Obrigações Patronais
3.1.96.16.00,Outras Despesas Variáveis - Pessoal Civil
3.1.96.67.00,Depósitos Compulsórios
3.1.96.91.00,Sentenças Judiciais
3.1.96.92.00,Despesas de Exercícios Anteriores
3.1.96.94.00,Indenizações e Restituições Trabalhistas
3.1.96.96.00,Ressarcimento de Despesas de Pessoal Requisitado
3.1.96.99.00,A Classificar
3.1.99.00.00,A Definir
3.1.99.99.00,A Classificar
3.2.00.00.00,JUROS E ENCARGOS DA DÍVIDA
3.2.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio
3.2.71.70.00,Rateio pela Participação em Consórcio Público
3.2.71.99.00,A Classificar
3.2.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.2.73.70.00,Rateio pela Participação em Consórcio Público
3.2.73.99.00,A Classificar
3.2.74.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.2.74.70.00,Rateio pela Participação em Consórcio Público
3.2.74.99.00,A Classificar
3.2.90.00.00,Aplicações Diretas
3.2.90.21.00,Juros sobre a Dívida por Contrato
3.2.90.22.00,Outros Encargos sobre a Dívida por Contrato
3.2.90.23.00,"Juros, Deságios e Descontos da Dívida Mobiliária"
3.2.90.24.00,Outros Encargos sobre a Dívida Mobiliária
3.2.90.25.00,Encargos sobre Operações de Crédito por Antecipação da Receita
3.2.90.26.00,Obrigações Decorrentes de Política Monetária
3.2.90.91.00,Sentenças Judiciais
3.2.90.92.00,Despesas de Exercícios Anteriores
3.2.90.93.00,Indenizações e Restituições
3.2.90.99.00,A Classificar
3.2.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.2.95.21.00,Juros sobre a Dívida por Contrato
3.2.95.22.00,Outros Encargos sobre a Dívida por Contrato
3.2.95.92.00,Despesas de Exercícios Anteriores
3.2.95.99.00,A Classificar
3.2.96.00.00,"Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.2.96.21.00,Juros sobre a Dívida por Contrato
3.2.96.22.00,Outros Encargos sobre a Dívida por Contrato
3.2.96.92.00,Despesas de Exercícios Anteriores
3.2.96.99.00,A Classificar
3.2.99.00.00,A Definir
3.2.99.99.00,A Classificar
3.3.00.00.00,OUTRAS DESPESAS CORRENTES
3.3.20.00.00,Transferências à União
3.3.20.41.00,Contribuições
3.3.20.99.00,A Classificar
3.3.22.00.00,Execução Orçamentária Delegada à União
3.3.22.14.00,Diárias - Civil
3.3.22.30.00,Material de Consumo
3.3.22.35.00,Serviços de Consultoria
3.3.22.36.00,Outros Serviços de Terceiros - Pessoa Física
3.3.22.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.22.99.00,A Classificar
3.3.30.00.00,Transferências a Estados e ao Distrito Federal
3.3.30.41.00,Contribuições
3.3.30.81.00,Distribuição Constitucional ou Legal de Receitas
3.3.30.93.00,Indenizações e Restituições
3.3.30.99.00,A Classificar
3.3.31.00.00,Transferências a Estados e ao Distrito Federal - Fundo a Fundo
3.3.31.41.00,Contribuições
3.3.31.92.00,Despesas de Exercícios Anteriores
3.3.31.99.00,A Classificar
3.3.32.00.00,Execução Orçamentária Delegada a Estados e ao Distrito Federal
3.3.32.14.00,Diárias - Civil
3.3.32.18.00,Auxílio Financeiro a Estudantes
3.3.32.20.00,Auxílio Financeiro a Pesquisadores
3.3.32.30.00,Material de Consumo
3.3.32.32.00,"Material, Bem ou Serviço para Distribuição Gratuita"
3.3.32.33.00,Passagens e Despesas com Locomoção
3.3.32.35.00,Serviços de Consultoria
3.3.32.36.00,Outros Serviços de Terceiros - Pessoa Física
3.3.32.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.32.47.00,Obrigações Tributárias e Contributivas
3.3.32.92.00,Despesas de Exercícios Anteriores
3.3.32.93.00,Indenizações e Restituições
3.3.32.99.00,A Classificar
3.3.35.00.00,"Transferências Fundo a Fundo aos Estados e ao Distrito Federal à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.3.35.41.00,Contribuições
3.3.35.92.00,Despesas de Exercícios Anteriores
3.3.35.99.00,A Classificar
3.3.36.00.00,"Transferências Fundo a Fundo aos Estados e ao Distrito Federal à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.3.36.41.00,Contribuições
3.3.36.92.00,Despesas de Exercícios Anteriores
3.3.36.99.00,A Classificar
3.3.40.00.00,Transferências a Municípios
3.3.40.41.00,Contribuições
3.3.40.81.00,Distribuição Constitucional ou Legal de Receitas
3.3.40.91.00,Sentenças Judiciais
3.3.40.93.00,Indenizações e Restituições
3.3.40.99.00,A Classificar
3.3.41.00.00,Transferências a Municípios - Fundo a Fundo
3.3.41.41.00,Contribuições
3.3.41.92.00,Despesas de Exercícios Anteriores
3.3.41.99.00,A Classificar
3.3.42.00.00,Execução Orçamentária Delegada a Municípios
3.3.42.14.00,Diárias - Civil
3.3.42.18.00,Auxílio Financeiro a Estudantes
3.3.42.30.00,Material de Consumo
3.3.42.32.00,"Material, Bem ou Serviço para Distribuição Gratuita"
3.3.42.33.00,Passagens e Despesas com Locomoção
3.3.42.35.00,Serviços de Consultoria
3.3.42.36.00,Outros Serviços de Terceiros - Pessoa Física
3.3.42.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.42.47.00,Obrigações Tributárias e Contributivas
3.3.42.92.00,Despesas de Exercícios Anteriores
3.3.42.93.00,Indenizações e Restituições
3.3.42.99.00,A Classificar
3.3.45.00.00,"Transferências Fundo a Fundo aos Municípios à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.3.45.41.00,Contribuições
3.3.45.91.00,Sentenças Judiciais
3.3.45.92.00,Despesas de Exercícios Anteriores
3.3.45.99.00,A Classificar
3.3.46.00.00,"Transferências Fundo a Fundo aos Municípios à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.3.46.41.00,Contribuições
3.3.46.91.00,Sentenças Judiciais
3.3.46.92.00,Despesas de Exercícios Anteriores
3.3.46.99.00,A Classificar
3.3.50.00.00,Transferências a Instituições Privadas sem Fins Lucrativos
3.3.50.14.00,Diárias - Civil
3.3.50.18.00,Auxílio Financeiro a Estudantes
3.3.50.20.00,Auxílio Financeiro a Pesquisadores
3.3.50.30.00,Material de Consumo
3.3.50.31.00,"Premiações Culturais, Artísticas, Científicas, Desportivas e Outras"
3.3.50.33.00,Passagens e Despesas com Locomoção
3.3.50.35.00,Serviços de Consultoria
3.3.50.36.00,Outros Serviços de Terceiros - Pessoa Física
3.3.50.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.50.41.00,Contribuições
3.3.50.43.00,Subvenções Sociais
3.3.50.47.00,Obrigações Tributárias e Contributivas
3.3.50.81.00,Distribuição Constitucional ou Legal de Receitas
3.3.50.85.00,Contrato de Gestão
3.3.50.92.00,Despesas de Exercícios Anteriores
3.3.50.99.00,A Classificar
3.3.60.00.00,Transferências a Instituições Privadas com Fins Lucrativos
3.3.60.45.00,Subvenções Econômicas
3.3.60.92.00,Despesas de Exercícios Anteriores
3.3.60.99.00,A Classificar
3.3.67.00.00,Execução de Contrato de Parceria Público-Privada - PPP
3.3.67.45.00,Subvenções Econômicas
3.3.67.99.00,A Classificar
3.3.70.00.00,Transferências a Instituições Multigovernamentais
3.3.70.41.00,Contribuições
3.3.70.99.00,A Classificar
3.3.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio
3.3.71.70.00,Rateio pela Participação em Consórcio Público
3.3.71.99.00,A Classificar
3.3.72.00.00,Execução Orçamentária Delegada a Consórcios Públicos
3.3.72.99.00,A Classificar
3.3.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.3.73.70.00,Rateio pela Participação em Consórcio Público
3.3.73.99.00,A Classificar
3.3.74.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.3.74.70.00,Rateio pela Participação em Consórcio Público
3.3.74.99.00,A Classificar
3.3.75.00.00,"Transferências a Instituições Multigovernamentais à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.3.75.41.00,Contribuições
3.3.75.99.00,A Classificar
3.3.76.00.00,"Transferências a Instituições Multigovernamentais à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.3.76.41.00,Contribuições
3.3.76.99.00,A Classificar
3.3.80.00.00,Transferências ao Exterior
3.3.80.04.00,Contratação por Tempo Determinado
3.3.80.14.00,Diárias - Civil
3.3.80.30.00,Material de Consumo
3.3.80.33.00,Passagens e Despesas com Locomoção
3.3.80.34.00,Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização
3.3.80.35.00,Serviços de Consultoria
3.3.80.36.00,Outros Serviços de Terceiros - Pessoa Física
3.3.80.37.00,Locação de Mão-de-Obra
3.3.80.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.80.41.00,Contribuições
3.3.80.92.00,Despesas de Exercícios Anteriores
3.3.80.99.00,A Classificar
3.3.90.00.00,Aplicações Diretas
3.3.90.04.00,Contratação por Tempo Determinado
3.3.90.06.00,Benefício Mensal ao Deficiente e ao Idoso
3.3.90.08.00,Outros Benefícios Assistenciais do servidor e do militar
3.3.90.10.00,Seguro Desemprego e Abono Salarial
3.3.90.14.00,Diárias - Civil
3.3.90.15.00,Diárias - Militar
3.3.90.18.00,Auxílio Financeiro a Estudantes
3.3.90.19.00,Auxílio-Fardamento
3.3.90.20.00,Auxílio Financeiro a Pesquisadores
3.3.90.27.00,"Encargos pela Honra de Avais, Garantias, Seguros e Similares"
3.3.90.28.00,Remuneração de Cotas de Fundos Autárquicos
3.3.90.29.00,Distribuição de Resultado de Empresas Estatais Dependentes
3.3.90.30.00,Material de Consumo
3.3.90.31.00,"Premiações Culturais, Artísticas, Científicas, Desportivas e Outras"
3.3.90.32.00,"Material, Bem ou Serviço para Distribuição Gratuita"
3.3.90.33.00,Passagens e Despesas com Locomoção
3.3.90.34.00,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização
3.3.90.35.00,Serviços de Consultoria
3.3.90.36.00,Outros Serviços de Terceiros - Pessoa Física
3.3.90.37.00,Locação de Mão-de-Obra
3.3.90.38.00,Arrendamento Mercantil
3.3.90.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.90.40.00,Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.90.41.00,Contribuições
3.3.90.45.00,Subvenções Econômicas
3.3.90.46.00,Auxílio-Alimentação
3.3.90.47.00,Obrigações Tributárias e Contributivas
3.3.90.48.00,Outros Auxílios Financeiros a Pessoas Físicas
3.3.90.49.00,Auxílio-Transporte
3.3.90.53.00,Aposentadorias do RGPS - Área Rural
3.3.90.54.00,Aposentadorias do RGPS - Área Urbana
3.3.90.55.00,Pensões do RGPS - Área Rural
3.3.90.56.00,Pensões do RGPS - Área Urbana
3.3.90.57.00,Outros Benefícios do RGPS - Área Rural
3.3.90.58.00,Outros Benefícios do RGPS - Área Urbana
3.3.90.59.00,Pensões Especiais
3.3.90.62.00,Aquisição de Produtos para Revenda
3.3.90.67.00,Depósitos Compulsórios
3.3.90.81.00,Distribuição Constitucional ou Legal de Receitas
3.3.90.86.00,Compensações a Regimes de Previdência
3.3.90.91.00,Sentenças Judiciais
3.3.90.92.00,Despesas de Exercícios Anteriores
3.3.90.93.00,Indenizações e Restituições
3.3.90.95.00,Indenização pela Execução de Trabalhos de Campo
3.3.90.96.00,Ressarcimento de Despesas de Pessoal Requisitado
3.3.90.99.00,A Classificar
3.3.91.00.00,"Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social"
3.3.91.04.00,Contratação por Tempo Determinado
3.3.91.18.00,Auxílio Financeiro a Estudantes
3.3.91.28.00,Remuneração de Cotas de Fundos Autárquicos
3.3.91.29.00,Distribuição de Resultado de Empresas Estatais Dependentes
3.3.91.30.00,Material de Consumo
3.3.91.31.00,"Premiações Culturais, Artísticas, Científicas, Desportivas e Outras"
3.3.91.32.00,"Material,Bem ou Serviço para Distribuição Gratuita"
3.3.91.34.00,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização - Op. Intraorçamentárias
3.3.91.35.00,Serviços de Consultoria
3.3.91.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.91.40.00,Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.91.47.00,Obrigações Tributárias e Contributivas
3.3.91.62.00,Aquisição de Produtos para Revenda
3.3.91.86.00,Compensações a Regimes de Previdência
3.3.91.91.00,Sentenças Judiciais
3.3.91.92.00,Despesas de Exercícios Anteriores
3.3.91.93.00,Indenizações e Restituições
3.3.91.96.00,Ressarcimento de Despesas de Pessoal Requisitado
3.3.91.97.00,Aporte para Cobertura do Déficit Atuarial do RPPS
3.3.91.99.00,A Classificar
3.3.92.00.00,Aplicação Direta de Recursos Recebidos de Outros Entes da Federação Decorrentes de Delegação ou Descentralização
3.3.92.14.00,Diárias - Civil
3.3.92.18.00,Auxílio Financeiro a Estudantes
3.3.92.20.00,Auxílio Financeiro a Pesquisadores
3.3.92.30.00,Material de Consumo
3.3.92.32.00,"Material, Bem ou Serviço para Distribuição Gratuita"
3.3.92.33.00,Passagens e Despesas com Locomoção
3.3.92.35.00,Serviços de Consultoria
3.3.92.36.00,Outros Serviços de Terceiros - Pessoa Física
3.3.92.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.92.92.00,Despesas de Exercícios Anteriores
3.3.92.99.00,A Classificar
3.3.93.00.00,"Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Participe"
3.3.93.30.00,Material de Consumo
3.3.93.32.00,"Material,Bem ou Serviço para Distribuição Gratuita"
3.3.93.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.93.99.00,A Classificar
3.3.94.00.00,"Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Não Participe"
3.3.94.30.00,Material de Consumo
3.3.94.32.00,"Material,Bem ou Serviço para Distribuição Gratuita"
3.3.94.39.00,Outros Serviços de Terceiros - Pessoa Jurídica
3.3.94.99.00,A Classificar
3.3.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.3.95.04.00,Contratação por Tempo Determinado
3.3.95.08.00,Outros Benefícios Assistenciais do servidor e do militar
3.3.95.14.00,Diárias - Civil
3.3.95.18.00,Auxílio Financeiro a Estudantes
3.3.95.20.00,Auxílio Financeiro a Pesquisadores
3.3.95.30.00,Material de Consumo
3.3.95.31.00,"Premiações Culturais, Artísticas, Científicas, Desportivas e Outras"
